name,street,city,postal,date,link
1130 Midland Ave - Walmart,1130 Midland Avenue,"Kingston, ON",K7P 2X9,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Barriefield Pharmasave ,"760 Highway 15, Unit 13","Kingston, ON",K7L 0C3,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Clinic Pharmacy ,76 Stuart St,"Kingston, ON",K7L 2V7,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Milford Pharmacy,728 Milford Dr,"Kingston, ON",K7P 1C6,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Gardiner's Pharmasave,500 Gardiner's Rd,"Kingston, ON",K7M 7W9,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Peters Drugs PharmaChoice,640 King St West,"Kingston, ON",K7M 2E5,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Frontenac Medical Pharmacy ,789 Princess St.,"Kingston, ON",K7L 1E9,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Medical Tree,"795 Gardiners Rd, Unit 6","Kingston, ON",K7M 7E6,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Amherstview Drugs,4499 Bath Rd,"Kingston, ON",K7N 1A6,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1875 Bath Rd. - Shoppers Drug Mart,1875 Bath Rd.,"Kingston, ON",K7M 4Y3,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
445 Princess St. - Shoppers Drug Mart,445 Princess St.,"Kingston, ON",K7L 1C3,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
136 Princess St. - Shoppers Drug Mart,136 Princess St.,"Kingston, ON",K7L 1A7,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
2437 Princess Street - Shoppers Drug Mart,"2437 Princess Street, Unit # 100","Kingston, ON",K7M 3G1,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
CATP Kingston,7 Hickson Ave,"Kingston, ON",K7K 2N4,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1011 Princess St. - Shoppers Drug Mart,1011 Princess St.,"Kingston, ON",K7L 1H3,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
817 Edgar Street - Rexall,817 Edgar Street,"Kingston, ON",K7M 8Y4,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1036 Princess Street - Rexall,1036 Princess Street,"Kingston, ON",K7L 1H2,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
775 Strand Blvd. - Shoppers Drug Mart,775 Strand Blvd.,"Kingston, ON",K7P 2S7,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
240 Montreal Street - Rexall,240 Montreal Street,"Kingston, ON",K7K 3G8,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
105 Sutherland Dr. - Shoppers Drug Mart,105 Sutherland Dr.,"Kingston, ON",K7K 5V6,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
797 Princess St. - Shoppers Drug Mart,797 Princess St.,"Kingston , ON",K7L 1G1,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Weller Pharmacy,"263 Weller Avenue, Unit  2","Kingston, ON",K7K 2V4,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
945 Gardinders Road - Shoppers Drug Mart,"945 Gardiners Road, Unit L074","Kingston, ON",K7M 7H4,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Division Pharmacy,"472 Division street, Unit 2","Kingston, ON",K7K 4B1,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Medical Arts Pharmacy ,800 Princess Street,"Kingston, ON",K7L 5E4,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Lovell Drugs,166 Brock Street,"Kingston, ON",K7L 3E2,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
300 Main St. South - Loblaw,300 Main St. South,"Kingsville, ON",N9Y 3S9,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
370 Main St. East - Shoppers Drug Mart,370 Main St. East,"Kingsville, ON",N9Y 0C1,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Kingsville IDA Pharmacy ,271 Main street East,"Kingsville, ON",N9Y 1A7,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
5890 Malden Road - Loblaw,5890 Malden Rd.,"LaSalle, ON",N9H 1S4,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Rob's Whole Health Pharmacy,"1765 Sprucewood, Unit 250","LaSalle, ON",N9J 1X7,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
5881 Malden Road - Rexall,5881 Malden Road,"LaSalle, ON",N9H 1S5,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
6020 Malden Rd. - Shoppers Drug Mart,6020 Malden Rd.,"LaSalle, ON",N9H 1S8,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
2125 Front Rd. - Shoppers Drug Mart,2125 Front Rd.,"LaSalle, ON",N9J 2C1,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
19 Amy Croft Drive - Sobeys,19 Amy Croft Drive,"Lakeshore, ON",N9K 1C7,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
269 Erie St. South - Shoppers Drug Mart,269 Erie Street South,"Leamington, ON",N8H 3C4,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
288 Erie Street South - Walmart,288 Erie Street South,"Leamington, ON",N8H 3C5,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
201 Talbot St. East - Loblaw,201 Talbot St. East,"Leamington, ON",N8H 3X5,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Central Drug Mart (Leamington),250 Erie St South,"Leamington, ON",N8H 3C2,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
450 Centre Street North - Loblaw,450 Centre Street North,"Napanee, ON",K7R 1P8,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
89 Jim Kimmett Boulevard - Walmart,89 Jim Kimmett Boulevard,"Napanee, ON",K7R 3L1,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
470 Centre Street North - Rexall,470 Centre Street North,"Napanee, ON",K7R 1P8,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
10 Alkenbrack St. - Shoppers Drug Mart,"10 Alkenbrack St., Unit 2","Napanee, ON",K7R 0A6,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
4841 Yonge Street - Shoppers Drug Mart,4841 Yonge Street North,"York, ON",M2N 5X2,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
3874 Bathurst Street - Shoppers Drug Mart,3874 Bathurst Street North,"York, ON",M3H 3N3,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
770 Lawrence Ave West - Shoppers Drug Mart,770 Lawrence Ave. West North,"York, ON",M6A 3C6,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
6220 YONGE ST - Loblaw,6220 Yonge Street North,"York, ON",M2M 3X4,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
5998 Bathurst St. - Shoppers Drug Mart,5998 Bathurst St. North,"York, ON",M2R 1Z1,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
6205 Bathurst St. - Shoppers Drug Mart,6205 Bathurst St. North,"York, ON",M2R 2A5,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
100 Billy Bishop Way - Costco,100 Billy Bishop Way North,"York, ON",M3K 2C8,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
6428 Yonge St. - Shoppers Drug Mart,6428 Yonge St. North,"York, ON",M2M 3X4,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
5150 Yonge Street - Rexall,5150 Yonge Street North,"York, ON",M2N 6L8,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Whole Health Pharmacy,"1575 Jane Street, Unit 7 North","York, ON",M9N 2R3,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Tobia's Guardian Pharmacy,12357 Hwy 41,"Northbrook, ON",K0H 2G0,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
2751 Eglinton Ave East - Shoppers Drug Mart,2751 Eglinton Ave East,"Scarborough, ON",M1J 2C7,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
629 Markham Road - Shoppers Drug Mart,629 Markham Road,"Scarborough, ON",M1H 2A4,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
