CFSAUID,PRUID,PRNAME,all_pharmacies,covid_vaccine_pharmacies,covid_pharms
H1C,"24",Quebec / Québec,"0","0",0.000
H1E,"24",Quebec / Québec,"0","0",0.000
H1G,"24",Quebec / Québec,"0","0",0.000
H1H,"24",Quebec / Québec,"0","0",0.000
H1J,"24",Quebec / Québec,"0","0",0.000
H1K,"24",Quebec / Québec,"0","0",0.000
H1L,"24",Quebec / Québec,"0","0",0.000
H1M,"24",Quebec / Québec,"0","0",0.000
H1N,"24",Quebec / Québec,"0","0",0.000
H1P,"24",Quebec / Québec,"0","0",0.000
H1R,"24",Quebec / Québec,"0","0",0.000
H1S,"24",Quebec / Québec,"0","0",0.000
H1T,"24",Quebec / Québec,"0","0",0.000
H1V,"24",Quebec / Québec,"0","0",0.000
H1W,"24",Quebec / Québec,"0","0",0.000
H1X,"24",Quebec / Québec,"0","0",0.000
H1Y,"24",Quebec / Québec,"0","0",0.000
H3P,"24",Quebec / Québec,"0","0",0.000
H2L,"24",Quebec / Québec,"0","0",0.000
H2M,"24",Quebec / Québec,"0","0",0.000
H2N,"24",Quebec / Québec,"0","0",0.000
H2P,"24",Quebec / Québec,"0","0",0.000
H2R,"24",Quebec / Québec,"0","0",0.000
H2S,"24",Quebec / Québec,"0","0",0.000
H2T,"24",Quebec / Québec,"0","0",0.000
H2V,"24",Quebec / Québec,"0","0",0.000
H2W,"24",Quebec / Québec,"0","0",0.000
H2X,"24",Quebec / Québec,"0","0",0.000
H2Y,"24",Quebec / Québec,"0","0",0.000
H2Z,"24",Quebec / Québec,"0","0",0.000
H3A,"24",Quebec / Québec,"0","0",0.000
H3B,"24",Quebec / Québec,"0","0",0.000
H3C,"24",Quebec / Québec,"0","0",0.000
H3E,"24",Quebec / Québec,"0","0",0.000
H8Z,"24",Quebec / Québec,"0","0",0.000
H9A,"24",Quebec / Québec,"0","0",0.000
H9B,"24",Quebec / Québec,"0","0",0.000
H9C,"24",Quebec / Québec,"0","0",0.000
H9E,"24",Quebec / Québec,"0","0",0.000
H9G,"24",Quebec / Québec,"0","0",0.000
H9H,"24",Quebec / Québec,"0","0",0.000
H3G,"24",Quebec / Québec,"0","0",0.000
H3H,"24",Quebec / Québec,"0","0",0.000
H3J,"24",Quebec / Québec,"0","0",0.000
H3K,"24",Quebec / Québec,"0","0",0.000
H3L,"24",Quebec / Québec,"0","0",0.000
H3M,"24",Quebec / Québec,"0","0",0.000
H3N,"24",Quebec / Québec,"0","0",0.000
H4A,"24",Quebec / Québec,"0","0",0.000
H4B,"24",Quebec / Québec,"0","0",0.000
H4C,"24",Quebec / Québec,"0","0",0.000
H4E,"24",Quebec / Québec,"0","0",0.000
H4G,"24",Quebec / Québec,"0","0",0.000
H4H,"24",Quebec / Québec,"0","0",0.000
H4P,"24",Quebec / Québec,"0","0",0.000
H4R,"24",Quebec / Québec,"0","0",0.000
H4S,"24",Quebec / Québec,"0","0",0.000
H4V,"24",Quebec / Québec,"0","0",0.000
H4J,"24",Quebec / Québec,"0","0",0.000
H4K,"24",Quebec / Québec,"0","0",0.000
H4L,"24",Quebec / Québec,"0","0",0.000
H4M,"24",Quebec / Québec,"0","0",0.000
H4N,"24",Quebec / Québec,"0","0",0.000
H2K,"24",Quebec / Québec,"0","0",0.000
J1E,"24",Quebec / Québec,"0","0",0.000
J1G,"24",Quebec / Québec,"0","0",0.000
H4W,"24",Quebec / Québec,"0","0",0.000
H4X,"24",Quebec / Québec,"0","0",0.000
H7A,"24",Quebec / Québec,"0","0",0.000
H7B,"24",Quebec / Québec,"0","0",0.000
H7C,"24",Quebec / Québec,"0","0",0.000
H7E,"24",Quebec / Québec,"0","0",0.000
H7G,"24",Quebec / Québec,"0","0",0.000
H7H,"24",Quebec / Québec,"0","0",0.000
H7J,"24",Quebec / Québec,"0","0",0.000
H7K,"24",Quebec / Québec,"0","0",0.000
H7L,"24",Quebec / Québec,"0","0",0.000
H7M,"24",Quebec / Québec,"0","0",0.000
H7N,"24",Quebec / Québec,"0","0",0.000
H7P,"24",Quebec / Québec,"0","0",0.000
H7R,"24",Quebec / Québec,"0","0",0.000
H7S,"24",Quebec / Québec,"0","0",0.000
H7T,"24",Quebec / Québec,"0","0",0.000
H7V,"24",Quebec / Québec,"0","0",0.000
H7W,"24",Quebec / Québec,"0","0",0.000
H7X,"24",Quebec / Québec,"0","0",0.000
H7Y,"24",Quebec / Québec,"0","0",0.000
H8N,"24",Quebec / Québec,"0","0",0.000
H8P,"24",Quebec / Québec,"0","0",0.000
H8R,"24",Quebec / Québec,"0","0",0.000
H8S,"24",Quebec / Québec,"0","0",0.000
H8T,"24",Quebec / Québec,"0","0",0.000
H8Y,"24",Quebec / Québec,"0","0",0.000
H9J,"24",Quebec / Québec,"0","0",0.000
H9K,"24",Quebec / Québec,"0","0",0.000
H9P,"24",Quebec / Québec,"0","0",0.000
H9R,"24",Quebec / Québec,"0","0",0.000
H9S,"24",Quebec / Québec,"0","0",0.000
H9W,"24",Quebec / Québec,"0","0",0.000
H9X,"24",Quebec / Québec,"0","0",0.000
J0A,"24",Quebec / Québec,"0","0",0.000
J0B,"24",Quebec / Québec,"0","0",0.000
J0C,"24",Quebec / Québec,"0","0",0.000
J0E,"24",Quebec / Québec,"0","0",0.000
J0G,"24",Quebec / Québec,"0","0",0.000
J0H,"24",Quebec / Québec,"0","0",0.000
J0J,"24",Quebec / Québec,"0","0",0.000
J0K,"24",Quebec / Québec,"0","0",0.000
J0L,"24",Quebec / Québec,"0","0",0.000
J0M,"24",Quebec / Québec,"0","0",0.000
J0N,"24",Quebec / Québec,"0","0",0.000
J0P,"24",Quebec / Québec,"0","0",0.000
J0R,"24",Quebec / Québec,"0","0",0.000
J0S,"24",Quebec / Québec,"0","0",0.000
J0T,"24",Quebec / Québec,"0","0",0.000
J0V,"24",Quebec / Québec,"0","0",0.000
J0W,"24",Quebec / Québec,"0","0",0.000
J0X,"24",Quebec / Québec,"0","0",0.000
J0Y,"24",Quebec / Québec,"0","0",0.000
J0Z,"24",Quebec / Québec,"0","0",0.000
J1H,"24",Quebec / Québec,"0","0",0.000
J1T,"24",Quebec / Québec,"0","0",0.000
J1X,"24",Quebec / Québec,"0","0",0.000
J2G,"24",Quebec / Québec,"0","0",0.000
J2H,"24",Quebec / Québec,"0","0",0.000
J2J,"24",Quebec / Québec,"0","0",0.000
J2L,"24",Quebec / Québec,"0","0",0.000
J1A,"24",Quebec / Québec,"0","0",0.000
J1C,"24",Quebec / Québec,"0","0",0.000
J2C,"24",Quebec / Québec,"0","0",0.000
J2E,"24",Quebec / Québec,"0","0",0.000
J2R,"24",Quebec / Québec,"0","0",0.000
J2T,"24",Quebec / Québec,"0","0",0.000
J1J,"24",Quebec / Québec,"0","0",0.000
J1K,"24",Quebec / Québec,"0","0",0.000
J1L,"24",Quebec / Québec,"0","0",0.000
J1S,"24",Quebec / Québec,"0","0",0.000
J1Z,"24",Quebec / Québec,"0","0",0.000
J2A,"24",Quebec / Québec,"0","0",0.000
J2B,"24",Quebec / Québec,"0","0",0.000
J1M,"24",Quebec / Québec,"0","0",0.000
J1N,"24",Quebec / Québec,"0","0",0.000
J1R,"24",Quebec / Québec,"0","0",0.000
J3E,"24",Quebec / Québec,"0","0",0.000
J3G,"24",Quebec / Québec,"0","0",0.000
J3H,"24",Quebec / Québec,"0","0",0.000
J3L,"24",Quebec / Québec,"0","0",0.000
J3M,"24",Quebec / Québec,"0","0",0.000
J3N,"24",Quebec / Québec,"0","0",0.000
J3P,"24",Quebec / Québec,"0","0",0.000
J3R,"24",Quebec / Québec,"0","0",0.000
J3T,"24",Quebec / Québec,"0","0",0.000
J4W,"24",Quebec / Québec,"0","0",0.000
J4X,"24",Quebec / Québec,"0","0",0.000
J4Y,"24",Quebec / Québec,"0","0",0.000
J4Z,"24",Quebec / Québec,"0","0",0.000
