name,street,city,province,postal,full address,X,Y,date,link
Shoppers Drug Mart,1084 Wilson Avenue,"Toronto, ON",Ontario,M3K 1G6,"1084 Wilson Avenue Toronto, ON M3K 1G6",43.7282615,-79.4808439,2021-04-13T14:53:25.423Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1090 King Street West,"Toronto, ON",Ontario,M6K 0C7,"1090 King Street West Toronto, ON M6K 0C7",43.6401606,-79.422434,2021-04-13T14:53:25.425Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,11 Arthur Street North,"Elmira, ON",Ontario,N3B 1Z4,"11 Arthur Street North Elmira, ON N3B 1Z4",43.6001912,-80.5572996,2021-04-13T14:53:25.161Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1105 Kingston Road,"Pickering, ON",Ontario,L1V 1B5,"1105 Kingston Road Pickering, ON L1V 1B5",43.8296738,-79.0949352,2021-04-13T14:53:25.330Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1105 Wellington Road,"London, ON",Ontario,N6E 1V4,"1105 Wellington Road London, ON N6E 1V4",42.9315865,-81.2246887,2021-04-13T14:53:25.245Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1118 Adelaide St. North,"London, ON",Ontario,N5Y 2N5,"1118 Adelaide St. North London, ON N5Y 2N5",43.0127361,-81.2428052,2021-04-13T14:53:25.248Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,115 Dundas Street Unit 1,"Cambridge, ON",Ontario,N1R 5T8,"115 Dundas Street Unit 1 Cambridge, ON N1R 5T8",43.3592744,-80.2940617,2021-04-13T14:53:25.149Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,11500 Tecumseh Road East,"Windsor, ON",Ontario,N8N 1L7,"11500 Tecumseh Road East Windsor, ON N8N 1L7",42.313369,-82.9005054,2021-04-13T14:53:25.452Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,118 Hastings Street North,"Bancroft, ON",Ontario,K0L 1C0,"118 Hastings Street North Bancroft, ON K0L 1C0",45.061573,-77.856565,2021-04-13T14:53:25.095Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1186 Oxford St. West,"London, ON",Ontario,N6H 2N2,"1186 Oxford St. West London, ON N6H 2N2",42.9748873,-81.3221488,2021-04-13T14:53:25.246Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,11965 Hurontario Street,"Brampton, ON",Ontario,L6Z 4P7,"11965 Hurontario Street Brampton, ON L6Z 4P7",43.7338349,-79.8231815,2021-04-13T14:53:25.134Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1201 Division Street,"Kingston, ON",Ontario,K7K 6X4,"1201 Division Street Kingston, ON K7K 6X4",44.2657409,-76.4965906,2021-04-13T14:53:25.223Z,https://covid-19.ontario.ca/vaccine-locations
