name,street,city,postal,province,full_address,X,Y,date,link
Weller Pharmacy,"263 Weller Avenue, Unit 2","Kingston, ON",K7K 2V4,Ontario,"263 Weller Avenue, Unit 2 Kingston, ON K7K 2V4",44.2627,-76.4912261,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
945 Gardinders Road - Shoppers Drug Mart,"945 Gardiners Road, Unit L074","Kingston, ON",K7M 7H4,Ontario,"945 Gardiners Road, Unit L074 Kingston, ON K7M 7H4",44.2563363,-76.572171,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Division Pharmacy,"472 Division street, Unit 2","Kingston, ON",K7K 4B1,Ontario,"472 Division street, Unit 2 Kingston, ON K7K 4B1",44.2422699,-76.49576,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Medical Arts Pharmacy,800 Princess Street,"Kingston, ON",K7L 5E4,Ontario,"800 Princess Street Kingston, ON K7L 5E4",44.2389873,-76.5072859,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Lovell Drugs,166 Brock Street,"Kingston, ON",K7L 3E2,Ontario,"166 Brock Street Kingston, ON K7L 3E2",44.2308559,-76.4859204,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
300 Main St. South - Loblaw,300 Main St. South,"Kingsville, ON",N9Y 3S9,Ontario,"300 Main St. South Kingsville, ON N9Y 3S9",42.039571,-82.7262084,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
370 Main St. East - Shoppers Drug Mart,370 Main St. East,"Kingsville, ON",N9Y 0C1,Ontario,"370 Main St. East Kingsville, ON N9Y 0C1",42.0380544,-82.7227949,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Kingsville IDA Pharmacy,271 Main street East,"Kingsville, ON",N9Y 1A7,Ontario,"271 Main street East Kingsville, ON N9Y 1A7",42.0374614,-82.7268746,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
5890 Malden Road - Loblaw,5890 Malden Rd.,"LaSalle, ON",N9H 1S4,Ontario,"5890 Malden Rd. LaSalle, ON N9H 1S4",42.2470949,-83.0584544,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Rob's Whole Health Pharmacy,"1765 Sprucewood, Unit 250","LaSalle, ON",N9J 1X7,Ontario,"1765 Sprucewood, Unit 250 LaSalle, ON N9J 1X7",42.2464876,-83.0623683,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
5881 Malden Road - Rexall,5881 Malden Road,"LaSalle, ON",N9H 1S5,Ontario,"5881 Malden Road LaSalle, ON N9H 1S5",42.2473086,-83.0613484,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
6020 Malden Rd. - Shoppers Drug Mart,6020 Malden Rd.,"LaSalle, ON",N9H 1S8,Ontario,"6020 Malden Rd. LaSalle, ON N9H 1S8",42.2435153,-83.0601321,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
2125 Front Rd. - Shoppers Drug Mart,2125 Front Rd.,"LaSalle, ON",N9J 2C1,Ontario,"2125 Front Rd. LaSalle, ON N9J 2C1",42.2279853,-83.1014726,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
19 Amy Croft Drive - Sobeys,19 Amy Croft Drive,"Lakeshore, ON",N9K 1C7,Ontario,"19 Amy Croft Drive Lakeshore, ON N9K 1C7",42.3064882,-82.8675957,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
