name,street,city,postal,date,link
Holland Street Pharmacy,484 Holland St. West Unit B3,"Bradford, ON",L3Z 0A2,2021-04-13T14:53:25.118Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,461 Holland Street West,"Bradford, ON",L3Z 0C1,2021-04-13T14:53:25.119Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,140 Holland Street West,"Bradford, ON",L3Z 1R7,2021-04-13T14:53:25.119Z,https://covid-19.ontario.ca/vaccine-locations
Sobeys Pharmacy,40 Melbourne Drive PO Box 1630,"Bradford, ON",L3Z 2B1,2021-04-13T14:53:25.119Z,https://covid-19.ontario.ca/vaccine-locations
Wal-Mart Pharmacy,545 Holland St. West,"Bradford, ON",L3Z 0C1,2021-04-13T14:53:25.120Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,100 Biscayne Crescent,"Brampton, ON",L6W 4S1,2021-04-13T14:53:25.121Z,https://covid-19.ontario.ca/vaccine-locations
Credit Ridge Remedy’s Rx Pharmacy,"9525 Mississauga Road, Unit 7","Brampton, ON",L6X 0Z8,2021-04-13T14:53:25.121Z,https://covid-19.ontario.ca/vaccine-locations
Drug Store Pharmacy,35 Worthington Avenue,"Brampton, ON",L7A 2Y7,2021-04-13T14:53:25.122Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,55 Mountainash Road,"Brampton, ON",L6R 1W4,2021-04-13T14:53:25.123Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,70 Clementine Drive,"Brampton, ON",L6Y 0L8,2021-04-13T14:53:25.123Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,60 Quarry Edge Drive,"Brampton, ON",L6V 1K2,2021-04-13T14:53:25.124Z,https://covid-19.ontario.ca/vaccine-locations
Freshco,3998 Cottrelle Boulevard,"Brampton, ON",L6P 2R1,2021-04-13T14:53:25.124Z,https://covid-19.ontario.ca/vaccine-locations
Gore Pharmacy IDA,4515 Ebenezer Road Suite 110,"Brampton, ON",L6P 2K7,2021-04-13T14:53:25.125Z,https://covid-19.ontario.ca/vaccine-locations
Loblaw Pharmacy,85 Steeles Ave. West,"Brampton, ON",L6Y 0K3,2021-04-13T14:53:25.126Z,https://covid-19.ontario.ca/vaccine-locations
Metro Pharmacy,25 Peel Centre Drive,"Brampton, ON",L6T 3R5,2021-04-13T14:53:25.126Z,https://covid-19.ontario.ca/vaccine-locations
Potters Wheel Pharmacy,10725 Mclaughlin Road Unit 3,"Brampton, ON",L7A 3E5,2021-04-13T14:53:25.127Z,https://covid-19.ontario.ca/vaccine-locations
Queen Hansen Pharmacy,284 Queen Street East Unit 116,"Brampton, ON",L6V 1C2,2021-04-13T14:53:25.128Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,227 Vodden St. East,"Brampton, ON",L6V 1N2,2021-04-13T14:53:25.128Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,2100 Bovaird Dr Brampton Civic Hospital,"Brampton, ON",L6R 3J7,2021-04-13T14:53:25.129Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,499 Main Street South,"Brampton, ON",L6Y 1N7,2021-04-13T14:53:25.129Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,10035 Hurontario Street Units 13-15,"Brampton, ON",L6Z 0E6,2021-04-13T14:53:25.130Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,"545 Steeles Avenue West, Unit A01","Brampton, ON",L6Y 4E7,2021-04-13T14:53:25.130Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,180 Sandalwood Parkway,"Brampton, ON",L6Z 1Y4,2021-04-13T14:53:25.131Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,25 Peel Centre Drive Unit 379,"Brampton, ON",L6T 3R5,2021-04-13T14:53:25.131Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,520 Charolais Boulevard,"Brampton, ON",L6Y 0R5,2021-04-13T14:53:25.132Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,25 Great Lakes Drive,"Brampton, ON",L6R 2S5,2021-04-13T14:53:25.132Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,49 Mountainash Road,"Brampton, ON",L6R 1W4,2021-04-13T14:53:25.133Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,930 North Park Drive,"Brampton, ON",L6S 3Y5,2021-04-13T14:53:25.133Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,"10661 Chinguacousy Road, Bldg. C, Fletchers Meadow","Brampton, ON",L7A 0N5,2021-04-13T14:53:25.134Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,8965 Chinguacousy Road,"Brampton, ON",L6Y 0J2,2021-04-13T14:53:25.134Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,11965 Hurontario Street,"Brampton, ON",L6Z 4P7,2021-04-13T14:53:25.134Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1 Kennedy Road South,"Brampton, ON",L6W 3C9,2021-04-13T14:53:25.135Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,10088 McLaughlin Road,"Brampton, ON",L7A 2X6,2021-04-13T14:53:25.135Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,366 Main Street North,"Brampton, ON",L6V 1P8,2021-04-13T14:53:25.136Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,34 A Avondale Boulevard,"Brampton, ON",L6T 1H3,2021-04-13T14:53:25.136Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,10665 Bramalea Road,"Brampton, ON",L6R 3P4,2021-04-13T14:53:25.137Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,160 Main Street South,"Brampton, ON",L6W 2E1,2021-04-13T14:53:25.138Z,https://covid-19.ontario.ca/vaccine-locations
Sobeys Pharmacy,8975 Chinguacousy Road,"Brampton, ON",L6Y 0J2,2021-04-13T14:53:25.138Z,https://covid-19.ontario.ca/vaccine-locations
Springdale Pharmacy,630 Peter Robertson Blvd,"Brampton, ON",L6R 1T4,2021-04-13T14:53:25.139Z,https://covid-19.ontario.ca/vaccine-locations
The Drug Store Pharmacy,295 Queen St. East,"Brampton, ON",L6W 3R1,2021-04-13T14:53:25.139Z,https://covid-19.ontario.ca/vaccine-locations
Wal-Mart Pharmacy,30 Coventry Road,"Brampton, ON",L6T 5P9,2021-04-13T14:53:25.140Z,https://covid-19.ontario.ca/vaccine-locations
Wal-Mart Pharmacy,5085 Mayfield Road,"Brampton, ON",L6R 3S9,2021-04-13T14:53:25.140Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,410 Fairview Drive,"Brantford, ON",N3R 7N7,2021-04-13T14:53:25.140Z,https://covid-19.ontario.ca/vaccine-locations
Loblaw Pharmacy,290 King George Road,"Brantford, ON",N3R 5L8,2021-04-13T14:53:25.141Z,https://covid-19.ontario.ca/vaccine-locations
Brighton Remedy's Rx,24 Main St.,"Brighton, ON",K0K 2H0,2021-04-13T14:53:25.141Z,https://covid-19.ontario.ca/vaccine-locations
Bright's Grove Family Pharmacy,2670 New Lakeshore Road Brights,"Grove, ON",N0N 1C0,2021-04-13T14:53:25.142Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,30 Pearl St. West,"Brockville, ON",K6V 4B5,2021-04-13T14:53:25.142Z,https://covid-19.ontario.ca/vaccine-locations
Wal-Mart Pharmacy,1942 Parkdale Avenue,"Brockville, ON",K6V 7N4,2021-04-13T14:53:25.142Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,5979 Baldwin Street South,"Brooklin, ON",L1M 2J7,2021-04-13T14:53:25.143Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,1225 Brant Street,"Burlington, ON",L7P 1X7,2021-04-13T14:53:25.143Z,https://covid-19.ontario.ca/vaccine-locations
Metro Pharmacy,2010 Appleby Line,"Burlington, ON",L7L 6M6,2021-04-13T14:53:25.143Z,https://covid-19.ontario.ca/vaccine-locations
Mount Royal Pharmacy Ltd,2047 Mount Forest Drive,"Burlington, ON",L7P 1H4,2021-04-13T14:53:25.144Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,2400 Guelph Line,"Burlington, ON",L7P 4M7,2021-04-13T14:53:25.144Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,2201 Brant Street,"Burlington, ON",L7P 3N8,2021-04-13T14:53:25.145Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,5061 New Street,"Burlington, ON",L7L 1V2,2021-04-13T14:53:25.145Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,2080 Appleby Line,"Burlington, ON",L7L 6M6,2021-04-13T14:53:25.145Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,4524 New Street,"Burlington, ON",L7L 2X8,2021-04-13T14:53:25.146Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,3023 New Street,"Burlington, ON",L7R 1K3,2021-04-13T14:53:25.146Z,https://covid-19.ontario.ca/vaccine-locations
Sobeys Pharmacy,1250 Brant St.,"Burlington, ON",L7P 1X8,2021-04-13T14:53:25.147Z,https://covid-19.ontario.ca/vaccine-locations
Wal-Mart Pharmacy,2065 Fairview St.,"Burlington, ON",L7R 0B4,2021-04-13T14:53:25.147Z,https://covid-19.ontario.ca/vaccine-locations
Wal-Mart Pharmacy,4515 Dundas Street West RR#1,"Burlington, ON",L7M 5B4,2021-04-13T14:53:25.147Z,https://covid-19.ontario.ca/vaccine-locations
Pharmasave,15955 Airport Road Unit 102,"Caledon, ON",L7C 1H9,2021-04-13T14:53:25.148Z,https://covid-19.ontario.ca/vaccine-locations
Med Health Pharmacy,614 Coronation Boulevard,"Cambridge, ON",N1R 3E8,2021-04-13T14:53:25.148Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,350 Conestoga Boulevard,"Cambridge, ON",N1R 7L7,2021-04-13T14:53:25.149Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,115 Dundas Street Unit 1,"Cambridge, ON",N1R 5T8,2021-04-13T14:53:25.149Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1500 King Street East,"Cambridge, ON",N3H 3R5,2021-04-13T14:53:25.150Z,https://covid-19.ontario.ca/vaccine-locations
Wal-Mart Pharmacy,22 Pinebush Road,"Cambridge, ON",N1R 8A9,2021-04-13T14:53:25.150Z,https://covid-19.ontario.ca/vaccine-locations
Rx Drug Mart,16 Grand Road,"Campbellford, ON",K0L 1L0,2021-04-13T14:53:25.150Z,https://covid-19.ontario.ca/vaccine-locations
Campbellville Pharmacy,35 Crawford Crescent,"Campbellville, ON",L0P 1B0,2021-04-13T14:53:25.151Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,401 St. Clair Street,"Chatham, ON",N7L 3K3,2021-04-13T14:53:25.151Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,420 Queen Street,"Chatham, ON",N7M 2J2,2021-04-13T14:53:25.151Z,https://covid-19.ontario.ca/vaccine-locations
Pharmacy 101,464 Division Street,"Cobourg, ON",K9A 3S2,2021-04-13T14:53:25.152Z,https://covid-19.ontario.ca/vaccine-locations
Wal-Mart Pharmacy,73 Strathy Road,"Cobourg, ON",K9A 5J7,2021-04-13T14:53:25.152Z,https://covid-19.ontario.ca/vaccine-locations
Wallace Drug Store,109 6th Avenue,"Cochrane, ON",P0L 1C0,2021-04-13T14:53:25.153Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,175 First Street,"Collingwood, ON",L9Y 1A5,2021-04-13T14:53:25.154Z,https://covid-19.ontario.ca/vaccine-locations
Cookstown Pharmasave,52 Queen Street West,"Cookstown, ON",L0L 1L0,2021-04-13T14:53:25.154Z,https://covid-19.ontario.ca/vaccine-locations
FreshCo Pharmacy,525 Ninth St. East,"Cornwall, ON",K6H 0A3,2021-04-13T14:53:25.155Z,https://covid-19.ontario.ca/vaccine-locations
Health Centre Pharmacy,1450 Highway 2,"Courtice, ON",L1E 3C3,2021-04-13T14:53:25.155Z,https://covid-19.ontario.ca/vaccine-locations
