,DBUID,DBPOP,DAUID,DAPOP,CSDUID,CSDNAME,CSDTYPE,CSDPOP,CMAUID,CMAPUID,CMANAME,CMATYPE,CMAPOP,PRUID,PRNAME,PRPOP,lon,lat,in_db_emp,prox_idx_emp,in_db_pharma,prox_idx_pharma,in_db_childcare,prox_idx_childcare,in_db_health,prox_idx_health,in_db_grocery,prox_idx_grocery,in_db_educpri,prox_idx_educpri,in_db_educsec,prox_idx_educsec,in_db_lib,prox_idx_lib,in_db_parks,prox_idx_parks,in_db_transit,prox_idx_transit,transit_na,amenity_dense,suppressed
187572,35200708003,169,35200708,504,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.344,43.6738,1,0.2098,0,0.0473,0,0.1402,1,0.031,0,0.0739,0,0.3705,0,0.1122,0,0.0679,0,0.0907,0,0.0381,0,1,0
187573,35200708004,171,35200708,504,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3437,43.673,1,0.2148,0,0.0824,0,0.1638,1,0.0342,1,0.1389,0,0.4097,0,0.1241,0,0.1255,0,0.119,1,0.0603,0,2,0
187574,35200709001,177,35200709,526,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3449,43.676,1,0.2124,0,0.1575,1,0.2305,1,0.0356,0,0.1,0,0.4276,0,0.1163,0,0.1078,0,0.1251,0,0.0461,0,1,0
187575,35200709002,183,35200709,526,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3446,43.6752,1,0.2121,1,0.1903,0,0.1941,1,0.036,0,0.0997,0,0.4236,0,0.1161,0,0.1062,0,0.1244,1,0.0454,0,1,0
187576,35200709003,166,35200709,526,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3443,43.6745,1,0.2121,0,0.1054,0,0.1526,1,0.0328,0,0.1016,0,0.3657,0,0.0807,0,0.0834,0,0.0932,0,0.0438,0,1,0
187577,35200710001,157,35200710,511,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3452,43.678,1,0.2158,1,0.2621,0,0.2551,1,0.0522,0,0.1915,0,0.4876,0,0.1213,0,0.217,0,0.1666,1,0.0935,0,2,0
187578,35200710002,134,35200710,511,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3465,43.6778,1,0.2255,0,0.2094,1,0.3389,1,0.0526,0,0.1653,0,0.5913,0,0.0745,0,0.1208,0,0.1712,0,0.0604,0,2,0
187579,35200710003,220,35200710,511,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3453,43.6768,1,0.2181,0,0.1762,1,0.2904,1,0.0526,0,0.1267,0,0.5436,0,0.1168,0,0.1321,0,0.1768,0,0.0623,0,2,0
187580,35200711001,464,35200711,464,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3415,43.6771,1,0.2092,0,0.1479,0,0.2132,1,0.0335,0,0.131,1,0.587,0,0.1439,0,0.1273,1,0.1892,1,0.0493,0,2,0
187581,35200712001,305,35200712,749,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3423,43.679,1,0.2257,1,0.2817,0,0.2339,1,0.0567,1,0.3165,0,0.3581,0,0.196,1,0.6462,0,0.1696,1,0.0774,0,2,0
187582,35200712002,444,35200712,749,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.342,43.6782,1,0.2185,0,0.1798,0,0.2216,1,0.052,0,0.1977,0,0.4046,0,0.1849,0,0.1883,0,0.1554,0,0.0617,0,2,0
187583,35200713001,292,35200713,447,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3388,43.6779,1,0.2078,0,0.134,0,0.1767,0,0.0462,0,0.164,0,0.3217,0,0.2304,0,0.1588,0,0.119,0,0.0409,0,2,0
187584,35200713002,78,35200713,447,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3377,43.6775,1,0.2028,0,0.1191,0,0.1706,1,0.0425,0,0.1328,0,0.3622,0,0.2383,0,0.188,0,0.1225,0,0.0398,0,2,0
187585,35200713003,77,35200713,447,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3369,43.6767,1,0.2015,0,0.1085,0,0.1749,0,0.0412,0,0.1286,0,0.3891,0,0.3183,0,0.1585,0,0.1211,0,0.0341,0,2,0
187586,35200714001,135,35200714,409,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3351,43.6764,1,0.1957,0,0.0989,0,0.1803,0,0.0373,0,0.126,0,0.3237,0,0.3543,0,0.0922,0,0.0966,0,0.0231,0,1,0
187587,35200714002,150,35200714,409,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.338,43.676,1,0.2028,1,0.139,0,0.1535,0,0.0419,0,0.1074,0,0.3575,0,0.2207,0,0.1582,0,0.1151,1,0.0323,0,2,0
